id_deputado,nome,salario_mandato
222429,Luis Carlos Gomes,1809065.5699999998
160510,Luis Tibé,1809065.5699999998
204410,Luisa Canziani,1809065.5699999998
141485,Luiz Carlos Busato,1809065.5699999998
73778,Luiz Carlos Hauly,1809065.5699999998
204485,Luiz Carlos Motta,1809065.5699999998
74041,Luiz Couto,1809065.5699999998
141487,Luiz Fernando Faria,1809065.5699999998
220658,Luiz Gastão,1809065.5699999998
204455,Luiz Lima,1809065.5699999998
162332,Luiz Nishimori,1809065.5699999998
204526,Luiz Philippe de Orleans e Bragança,1809065.5699999998
74784,Luiza Erundina,1809065.5699999998
178866,Luizianne Lins,1809065.5699999998
220669,Lula da Fonte,1809065.5699999998
166402,Magda Mofatto,1809065.5699999998
220648,Marangoni,1809065.5699999998
156190,Marcel van Hattem,1809065.5699999998
179000,Marcelo Álvaro Antônio,1809065.5699999998
220599,Marcelo Crivella,1809065.5699999998
133810,Marcelo Moraes,1809065.5699999998
160161,Marcelo Queiroz,1809065.5699999998
178983,Marcio Alvino,1809065.5699999998
179001,Márcio Biolchi,1809065.5699999998
220687,Márcio Honaiser,1809065.5699999998
81055,Márcio Jerry,1809065.5699999998
150418,Márcio Marinho,1809065.5699999998
160535,Marcon,1809065.5699999998
204431,Marcos Aurélio Sampaio,1809065.5699999998
204506,Marcos Pereira,1809065.5699999998
220547,Marcos Pollon,1809065.5699999998
178943,Marcos Soares,1809065.5699999998
220604,Marcos Tavares,1809065.5699999998
220668,Maria Arraes,1809065.5699999998
74398,Maria do Rosário,1809065.5699999998
204540,Maria Rosas,1809065.5699999998
220655,Mario Frias,1809065.5699999998
74158,Mário Heringer,1809065.5699999998
178858,Mário Negromonte Jr.,1809065.5699999998
220572,Marussa Boldrin,1809065.5699999998
178843,Marx Beltrão,1809065.5699999998
220661,Matheus Noronha,1809065.5699999998
220609,Maurício Carvalho,1809065.5699999998
220628,Mauricio do Vôlei,1809065.5699999998
220550,Mauricio Marcon,1809065.5699999998
220647,Mauricio Neves,1809065.5699999998
204486,Mauro Benevides Filho,1809065.5699999998
220607,Max Lemos,1809065.5699999998
220591,Meire Serafim,1809065.5699999998
74428,Mendonça Filho,1809065.5699999998
188097,Merlong Solano,1809065.5699999998
220585,Mersinho Lucena,1809065.5699999998
220530,Messias Donato,1809065.5699999998
171786,Miguel Ângelo,1809065.5699999998
178985,Miguel Lombardi,1809065.5699999998
178895,Misael Varella,1809065.5699999998
160561,Missionário José Olimpio,1809065.5699999998
178997,Moses Rodrigues,1809065.5699999998
220617,Murillo Gouvea,1809065.5699999998
220584,Murilo Galdino,1809065.5699999998
204453,Natália Bonavides,1809065.5699999998
204449,Nelson Barbudo,1809065.5699999998
220703,Neto Carletto,1809065.5699999998
178896,Newton Cardoso Jr,1809065.5699999998
204479,Nicoletti,1809065.5699999998
209787,Nikolas Ferreira,1809065.5699999998
178986,Nilto Tatto,1809065.5699999998
74159,Odair Cunha,1809065.5699999998
204498,Olival Marques,1809065.5699999998
178987,Orlando Silva,1809065.5699999998
73692,Osmar Terra,1809065.5699999998
204422,Ossesio Silva,1809065.5699999998
204441,Otoni de Paula,1809065.5699999998
220706,Padovani,1809065.5699999998
160556,Padre João,1809065.5699999998
180214,Pastor Diniz,1809065.5699999998
160642,Pastor Eurico,1809065.5699999998
204570,Pastor Gil,1809065.5699999998
220615,Pastor Henrique Vieira,1809065.5699999998
204553,Pastor Sargento Isidório,1809065.5699999998
74160,Patrus Ananias,1809065.5699999998
74095,Pauderney Avelino,1809065.5699999998
171617,Paulão,1809065.5699999998
141518,Paulinho da Força,1809065.5699999998
141516,Paulo Abi-Ackel,1809065.5699999998
220650,Paulo Alexandre Barbosa,1809065.5699999998
178860,Paulo Azi,1809065.5699999998
160517,Paulo Folletto,1809065.5699999998
160558,Paulo Freire Costa,1809065.5699999998
204492,Paulo Guedes,1809065.5699999998
220685,Paulo Litro,1809065.5699999998
74574,Paulo Magalhães,1809065.5699999998
128760,Paulo Marinho Jr,1809065.5699999998
74400,Paulo Pimenta,1809065.5699999998
220667,Pedro Campos,1809065.5699999998
122974,Pedro Lucas Fernandes,1809065.5699999998
204395,Pedro Lupion,1809065.5699999998
122158,Pedro Paulo,1809065.5699999998
160604,Pedro Uczai,1809065.5699999998
204406,Pedro Westphalen,1809065.5699999998
161440,Pezenti,1809065.5699999998
204524,Pinheirinho,1809065.5699999998
73486,Pompeo de Mattos,1809065.5699999998
160601,Pr. Marco Feliciano,1809065.5699999998
220533,Prof. Reginaldo Veras,1809065.5699999998
204390,Professor Alcides,1809065.5699999998
221338,Professora Luciene Cavalcante,1809065.5699999998
160641,Professora Marcivania,1809065.5699999998
220586,Rafael Brito,1809065.5699999998
233594,Rafael Fera,1809065.5699999998
220532,Rafael Prudente,1809065.5699999998
220626,Rafael Simoes,1809065.5699999998
204567,Raimundo Costa,1809065.5699999998
74084,Raimundo Santos,1809065.5699999998
74161,Reginaldo Lopes,1809065.5699999998
220606,Reimont,1809065.5699999998
205865,Reinhold Stephanes,1809065.5699999998
178989,Renata Abreu,1809065.5699999998
153423,Renilce Nicodemos,1809065.5699999998
73801,Renildo Calheiros,1809065.5699999998
175765,Ribamar Silva,1809065.5699999998
235088,Ribeiro Neto,1809065.5699999998
221329,Ricardo Abrão,1809065.5699999998
220543,Ricardo Ayres,1809065.5699999998
73788,Ricardo Barros,1809065.5699999998
234310,Ricardo Galvão,1809065.5699999998
204362,Ricardo Guidi,1809065.5699999998
220694,Ricardo Maia,1809065.5699999998
220633,Ricardo Salles,1809065.5699999998
204489,Robério Monteiro,1809065.5699999998
220693,Roberta Roma,1809065.5699999998
220588,Roberto Duarte,1809065.5699999998
220613,Roberto Monteiro Pai,1809065.5699999998
220624,Robinson Faria,1809065.5699999998
220546,Rodolfo Nogueira,1809065.5699999998
230767,Rodrigo da Zaeli,1809065.5699999998
141531,Rodrigo de Castro,1809065.5699999998
223128,Rodrigo Estacho,1809065.5699999998
220641,Rodrigo Gambale,1809065.5699999998
141533,Rodrigo Rollemberg,1809065.5699999998
