ideCadastro,txNomeParlamentar,sgPartido,sgUF,vlrLiquido
204404,Lucas Redecker,PSDB,RS,496920.1499999995
171786,Miguel Ângelo,PT,MG,496246.18
122158,Pedro Paulo,PSD,RJ,496124.97000000026
178970,João Daniel,PT,SE,496047.42000000004
204570,Pastor Gil,PL,MA,495918.73
220569,Silvye Alves,UNIÃO,GO,495864.49999999994
204492,Paulo Guedes,PT,MG,494134.20000000007
74646,Aécio Neves,PSDB,MG,491815.3400000002
220527,Jack Rocha,PT,ES,491341.31999999983
160592,Zeca Dirceu,PT,PR,489622.96999999986
73701,Benedita da Silva,PT,RJ,489027.7
220528,Dr. Victor Linhalis,PODE,ES,488462.1200000003
206018,Célia Xakriabá,PSOL,MG,487712.9399999995
141487,Luiz Fernando Faria,PSD,MG,487699.9699999997
220681,Fábio Macedo,PODE,MA,487578.29
160599,Dimas Fabiano,PP,MG,487296.3099999978
220552,Zucco,PL,RS,487215.94999999984
204508,Igor Timo,PSD,MG,487113.9
141516,Paulo Abi-Ackel,PSDB,MG,486740.4900000007
178873,Helder Salomão,PT,ES,486663.1299999988
220655,Mario Frias,PL,SP,484521.05999999976
220533,Prof. Reginaldo Veras,PV,DF,483748.3100000002
74478,Luciano Bivar,UNIÃO,PE,482121.6899999999
178943,Marcos Soares,UNIÃO,RJ,480329.4699999998
74454,Eunício Oliveira,MDB,CE,480221.9
215043,Josivaldo JP,PSD,MA,479507.06
204456,Gutemberg Reis,MDB,RJ,479327.9099999996
73604,Rui Falcão,PT,SP,478502.94
73801,Renildo Calheiros,PCdoB,PE,478032.2599999999
220595,Coronel Fernanda,PL,MT,477153.79000000015
220605,Bandeira de Mello,PSB,RJ,476901.3299999997
205476,Charles Fernandes,PSD,BA,476820.72
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,475814.1
220594,Coronel Assis,UNIÃO,MT,474608.74999999994
220534,Fred Linhares,REPUBLICANOS,DF,473846.0199999998
178884,Hildo Rocha,MDB,MA,472763.09000000014
221338,Professora Luciene Cavalcante,PSOL,SP,471011.17999999947
160558,Paulo Freire Costa,PL,SP,469732.0299999994
160552,Danrlei de Deus Hinterholz,PSD,RS,469283.93000000046
73579,Alberto Fraga,PL,DF,467620.17000000004
160575,Erika Kokay,PT,DF,466183.979999997
171617,Paulão,PT,AL,465953.0300000002
220706,Padovani,UNIÃO,PR,465540.8300000001
178972,Alex Manente,CIDADANIA,SP,465457.9199999999
204539,Hercílio Coelho Diniz,MDB,MG,463724.3199999998
220613,Roberto Monteiro Pai,PL,RJ,463317.81000000006
220623,Duda Salabert,PDT,MG,460365.7700000003
74161,Reginaldo Lopes,PT,MG,458298.49999999977
204374,Bia Kicis,PL,DF,456986.42999999993
209787,Nikolas Ferreira,PL,MG,454626.6300000004
220645,Erika Hilton,PSOL,SP,454539.13
160510,Luis Tibé,AVANTE,MG,454427.2999999999
66385,Julio Arcoverde,PP,PI,453742.7300000001
231911,Lenir de Assis,PT,PR,452829.91999999876
160976,Tiririca,PSD,SP,451417.0300000003
220602,Dimas Gadelha,PT,RJ,451049.5099999999
204571,Alex Santana,REPUBLICANOS,BA,449002.43000000017
178937,Altineu Côrtes,PL,RJ,444966.98999999964
141555,Vinicius Carvalho,REPUBLICANOS,SP,443276.1300000003
204464,Talíria Petrone,PSOL,RJ,439886.10999999975
178854,Elmar Nascimento,UNIÃO,BA,438223.89999999997
204524,Pinheirinho,PP,MG,437632.1500000002
220565,Delegada Adriana Accorsi,PT,GO,435846.36999999994
220644,Rosangela Moro,UNIÃO,SP,435711.23999999976
204450,Doutor Luizinho,PP,RJ,432760.68999999994
161440,Pezenti,MDB,SC,432399.87999999983
204495,Airton Faleiro,PT,PA,429905.9899999997
141458,João Carlos Bacelar,PL,BA,420967.7900000004
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,420138.02000000025
220532,Rafael Prudente,MDB,DF,419851.1199999997
220638,Antonio Carlos Rodrigues,PL,SP,414491.7699999999
73788,Ricardo Barros,PP,PR,410839.32
204520,Junio Amaral,PL,MG,406714.3999999996
220616,Luciano Vieira,PSDB,RJ,403326.9099999999
165470,Rodrigo Valadares,UNIÃO,SE,402438.20999999996
204462,Chris Tonietto,PL,RJ,401400.25000000023
220657,André Fernandes,PL,CE,393292.14999999985
178975,Baleia Rossi,MDB,SP,391701.9200000001
178946,Soraya Santos,PL,RJ,386312.8100000003
220526,Gilvan da Federal,PL,ES,385378.49999999994
204515,André Janones,AVANTE,MG,377272.35000000015
204485,Luiz Carlos Motta,PL,SP,375046.32000000007
74858,Lindbergh Farias,PT,RJ,374492.24999999994
221329,Ricardo Abrão,UNIÃO,RJ,371331.4500000002
178985,Miguel Lombardi,PL,SP,370521.76000000024
204444,Helio Lopes,PL,RJ,367679.2400000003
204436,Isnaldo Bulhões Jr.,MDB,AL,363631.0900000004
230765,Enfermeira Rejane,PCdoB,RJ,362950.69999999995
74079,José Priante,MDB,PA,361387.1500000001
204497,Júnior Ferrari,PSD,PA,361359.99999999994
178886,Juscelino Filho,UNIÃO,MA,359378.0300000002
214694,Jorge Goetten,REPUBLICANOS,SC,358160.72000000003
220675,Antônio Doido,MDB,PA,354826.9799999998
73433,Arlindo Chinaglia,PT,SP,349282.0599999999
204549,AJ Albuquerque,PP,CE,348754.93
204419,Glaustin da Fokus,PODE,GO,348702.1
227433,Douglas Viegas,UNIÃO,SP,348270.37
220549,Any Ortiz,CIDADANIA,RS,347832.4900000002
160541,Arthur Lira,PP,AL,340723.3199999999
204369,Caroline de Toni,PL,SC,339757.44
204482,Euclydes Pettersen,REPUBLICANOS,MG,324993.79999999993
133810,Marcelo Moraes,PL,RS,321009.82000000007
74554,José Rocha,UNIÃO,BA,318343.72
220673,Delegado Caveira,PL,PA,294213.20999999996
73441,Celso Russomanno,REPUBLICANOS,SP,284681.23000000033
178831,André Abdon,PP,AP,283421.29999999993
233594,Rafael Fera,PODE,RO,282783.19999999995
204459,Daniela do Waguinho,UNIÃO,RJ,282466.7400000001
156190,Marcel van Hattem,NOVO,RS,281345.9799999997
160561,Missionário José Olimpio,PL,SP,277604.06999999995
220653,Fábio Teruel,MDB,SP,271221.25
160641,Professora Marcivania,PCdoB,AP,267186.51
137070,Vicentinho Júnior,PP,TO,262968.8799999999
143942,Caio Vianna,PSD,RJ,261897.8999999999
220568,Gustavo Gayer,PL,GO,255252.89000000004
74075,Elcione Barbalho,MDB,PA,251069.27
204387,Sargento Fahur,PSD,PR,237766.3999999997
220650,Paulo Alexandre Barbosa,PSDB,SP,229338.52999999994
204365,Gilson Marques,NOVO,SC,216122.50000000012
171623,Fabio Reis,PSD,SE,215877.61000000002
220571,Daniel Agrobom,PL,GO,210645.62000000008
141533,Rodrigo Rollemberg,PSB,DF,210312.17
143084,Tiago Dimas,PODE,TO,203005.55999999988
204448,Luiz Antonio Corrêa,PP,RJ,182490.59999999998
74065,Fatima Pelaes,REPUBLICANOS,AP,148734.36
204536,Kim Kataguiri,UNIÃO,SP,118588.64000000004
204553,Pastor Sargento Isidório,AVANTE,BA,110072.48000000004
204528,Adriana Ventura,NOVO,SP,98935.55000000003
178983,Marcio Alvino,PL,SP,87014.27
234388,Fabiano Cazeca,PRD,MG,82880.71999999997
234673,Vanderlan Alves,REPUBLICANOS,CE,75215.81999999999
77003,Sergio Santos Rodrigues,PODE,MG,75011.15999999999
73808,Sérgio Brito,PSD,BA,74473.70999999999
204361,Carlos Chiodini,MDB,SC,68002.48999999995
220715,Amom Mandel,CIDADANIA,AM,66591.51999999997
234310,Ricardo Galvão,REDE,SP,62145.69999999999
